Title,URL,Location,Price,Bedrooms,Type,County
4 Bed Townhouse with En Suite in Karen,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-karen-3738462,Karen,400000,4,Townhouse,Nairobi
6 Bed Villa with En Suite at Off Ruaka Rd,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-rent-runda-3734382,Westlands Runda,520000,6,Villa,Nairobi
3 Bed House with En Suite at Windsor,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-ridgeways-3734789,Ridgeways,500000,3,House,Nairobi
3 Bed House with En Suite at Off Ruaka Rd,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-runda-3735726,Westlands Runda,350000,3,House,Nairobi
5 Bed House with En Suite at Glory Road,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3503249,Westlands Runda,400000,5,House,Nairobi
4 Bed Townhouse with En Suite at Glory Rd,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3677455,Westlands Runda,430000,4,Townhouse,Nairobi
4 Bed House with En Suite at Off Thigiri Ridge Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-thigiri-3648439,Westlands Thigiri,450000,4,House,Nairobi
4 Bed House with En Suite at Off Ruaka Rd,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3717352,Westlands Runda,350000,4,House,Nairobi
4 Bed House with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3738457,Westlands Kitisuru,400000,4,House,Nairobi
3 Bed House with En Suite in Tigoni,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-tigoni-3738442,Limuru Tigoni,17000,3,House,Kiambu County
4 Bed Townhouse with En Suite at Kileleshwa,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3738449,Kileleshwa,200000,4,Townhouse,Nairobi
2 Bed Townhouse with En Suite in Runda,https://www.buyrentkenya.com/listings/furnished-2-bedroom-townhouse-for-rent-runda-3735755,Westlands Runda,195000,2,Townhouse,Nairobi
4 Bed House with En Suite at Ruaka Rd,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3734860,Westlands Runda,250000,4,House,Nairobi
4 Bed Townhouse with En Suite in Spring Valley,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-spring-valley-3731184,Westlands Spring Valley,320000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3738453,Lavington,400000,4,Townhouse,Nairobi
3 Bed House with En Suite in Tigoni,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-tigoni-3738393,Limuru Tigoni,387000,3,House,Kiambu County
5 Bed House with En Suite at Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738400,Lavington,400000,5,House,Nairobi
4 Bed House with En Suite in Karen,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3738398,Karen,250000,4,House,Nairobi
4 Bed House with En Suite at Rossly,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-rosslyn-3738181,Westlands Rosslyn,450000,4,House,Nairobi
4 Bed House with En Suite in Ridgeways,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-ridgeways-3738378,Ridgeways,300000,4,House,Nairobi
5 Bed Townhouse with En Suite at Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738347,Lavington,400000,5,Townhouse,Nairobi
5 Bed House with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3738338,Westlands Kitisuru,500000,5,House,Nairobi
5 Bed House with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3738331,Westlands Kitisuru,450000,5,House,Nairobi
5 Bed Townhouse with Staff Quarters in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738308,Lavington,400000,5,Townhouse,Nairobi
4 Bed Villa with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-runda-3733170,Westlands Runda,400000,4,Villa,Nairobi
4 Bed Villa with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-kiambu-road-3726116,Kiambu Road,330000,4,Villa,Nairobi
3 Bed Townhouse with En Suite at Vipingo,https://www.buyrentkenya.com/listings/furnished-3-bedroom-townhouse-for-rent-vipingo-3738297,Vipingo,165000,3,Townhouse,Kilifi County
4 Bed House with Swimming Pool in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738287,Westlands Runda,330000,4,House,Nairobi
3 Bed Townhouse with En Suite in Muthaiga,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-muthaiga-3738285,Muthaiga,150000,3,Townhouse,Nairobi
5 Bed Townhouse with En Suite at Karen,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3738273,Karen,380000,5,Townhouse,Nairobi
4 Bed Townhouse with En Suite at Karen,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-karen-3738266,Karen,500000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3737416,Lavington,400000,4,Townhouse,Nairobi
6 Bed House with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-kitisuru-3737422,Westlands Kitisuru,1100000,6,House,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3737819,Lavington,400000,5,Townhouse,Nairobi
4 Bed House with En Suite in Nyari,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyari-3737840,Westlands Nyari,1300000,4,House,Nairobi
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3738244,Westlands Runda,650000,5,House,Nairobi
4 Bed House with En Suite in Karen,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3731639,Karen,400000,4,House,Nairobi
2 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-runda-3645216,Westlands Runda,75000,2,House,Nairobi
1 Bed House with Garden in Karen,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-karen-3713384,Karen,75000,1,House,Nairobi
4 Bed House with En Suite in Thigiri,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-thigiri-3738236,Westlands Thigiri,450000,4,House,Nairobi
4 Bed House with En Suite at Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738233,Westlands Runda,250000,4,House,Nairobi
4 Bed House with En Suite at Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738225,Westlands Runda,430000,4,House,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738223,Westlands Runda,420000,4,House,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-rent-runda-3738219,Westlands Runda,650000,4,House,Nairobi
4 Bed House with En Suite at Windy Ridge,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-hardy-3738211,Karen Hardy,350000,4,House,Nairobi
4 Bed Townhouse with En Suite in Ngong Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-ngong-road-3738216,Ngong Road,130000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Ridgeways,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-ridgeways-3738217,Ridgeways,300000,4,Townhouse,Nairobi
5 Bed Townhouse with En Suite at Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3736217,Lavington,400000,5,Townhouse,Nairobi
6 Bed House with En Suite at Tatu City,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-tatu-city-3712024,Ruiru Tatu City,450000,6,House,Kiambu County
4 Bed Townhouse with En Suite at Kileleshwa,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3738187,Kileleshwa,120000,4,Townhouse,Nairobi
4 Bed Villa with En Suite in Ridgeways,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-ridgeways-3738182,Ridgeways,516000,4,Villa,Nairobi
4 Bed Townhouse with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kiambu-road-3673250,Kiambu Road,250000,4,Townhouse,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738167,Lavington,400000,5,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738154,Lavington,600000,5,House,Nairobi
4 Bed House with En Suite in Rosslyn,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-rosslyn-3738127,Westlands Rosslyn,450000,4,House,Nairobi
4 Bed House with En Suite at Rosslyn,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-rosslyn-3738151,Westlands Rosslyn,400000,4,House,Nairobi
5 Bed Townhouse with En Suite at Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-kitisuru-3738146,Westlands Kitisuru,450000,5,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738141,Lavington,400000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738139,Lavington,400000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738128,Lavington,350000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738126,Lavington,320000,5,House,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3471068,Lavington,350000,5,Townhouse,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3570288,Lavington,400000,5,Townhouse,Nairobi
4 Bed House with Staff Quarters in Nyali Area,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyali-area-4-3405832,Nyali Area,120000,4,House,Mombasa
4 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3738124,Lavington,300000,4,House,Nairobi
4 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3738122,Lavington,350000,4,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738118,Lavington,500000,5,House,Nairobi
4 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3738116,Lavington,350000,4,House,Nairobi
4 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3738114,Lavington,280000,4,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738111,Lavington,230000,5,House,Nairobi
5 Bed Townhouse with En Suite at Tender Drive8112,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738100,Lavington,400000,5,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738102,Lavington,450000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738101,Lavington,520000,5,House,Nairobi
6 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-lavington-3738094,Lavington,400000,6,House,Nairobi
5 Bed Villa with En Suite at Lavington,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-3738096,Lavington,420000,5,Villa,Nairobi
4 Bed Townhouse with En Suite at Kiliman,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kilimani-3738095,Kilimani,130000,4,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738089,Lavington,400000,5,House,Nairobi
5 Bed Townhouse with En Suite at Karen Plains,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3738054,Karen,250000,5,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738088,Lavington,260000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738086,Lavington,350000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738084,Lavington,200000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738082,Lavington,400000,5,House,Nairobi
1 Bed House with Garden in Runda,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-runda-3734226,Westlands Runda,80000,1,House,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738068,Westlands Runda,400000,4,House,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738062,Lavington,420000,5,Townhouse,Nairobi
4 Bed Villa with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-kiambu-road-3738045,Kiambu Road,220000,4,Villa,Nairobi
4 Bed House with En Suite in Karen,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3737632,Karen,140000,4,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3738050,Lavington,250000,5,House,Nairobi
5 Bed Townhouse with En Suite at Lavington Green,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3736929,Lavington,385000,5,Townhouse,Nairobi
5 Bed Townhouse with En Suite at Mombasa Road,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-syokimau-3738052,Syokimau,160000,5,Townhouse,Machakos County
2 Bed Townhouse with En Suite in Nyari,https://www.buyrentkenya.com/listings/furnished-2-bedroom-townhouse-for-rent-nyari-3738025,Westlands Nyari,130000,2,Townhouse,Nairobi
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3738028,Westlands Runda,520000,5,House,Nairobi
